price(billionVND),id
7.2,22448804
4.78,22538386
6.95,22521691
5.1,22524911
9.0,22525147
6.0,22506507
3.7,22495812
22.5,22534903
39.0,22524167
280.0,22473351
17.0,22032128
106.0,22411194
8.7,22517397
8.0,21804356
2.43,22516503
45.0,22516605
85.0,22521919
26.0,22436775
5.8,22398181
8.4,22524180
4.18,22522062
57.0,22516611
32.0,22512080
13.0,22387150
8.6,22524187
28.0,22397317
21.0,22100361
7.75,22165272
6.1,22460919
11.48,22521776
7.599,22500764
34.0,22166375
222.0,22397397
0.0108,22524426
14.99,22049598
9.3,22463429
10.5,21214724
40.0,21987483
27.98,22521754
2.75,22516831
30.0,22043766
720.0,22489195
3.7,22379167
8.1,22524436
12.49,22219670
13.6,21411334
5.75,22498127
10.98,22521700
78.0,22492267
7.85,22043761
320.0,22489169
8.6,22524443
7.4,22459181
4.95,21423632
8.7,22499271
6.48,22521646
63.0,22497820
130.0,22440784
35.0,22032912
12.0,22524451
6.58,22455407
18.5,21582769
5.98,22520251
50.0,22438729
26.0,22455845
15.9,22032843
14.0,22524460
13.75,22042852
10.5,22454305
7.6,22528566
20.68,22520247
3.51,22512640
22.0,22537188
40.0,22438711
25.0,22032754
30.0,22471177
11.95,22003198
14.5,22523802
9.98,22520239
2.85,22527828
13.0,22537133
130.0,22425166
32.9,22421081
14.7,22008250
12.29,21977332
7.85,22432645
6.5,22515666
20.18,22520237
2.15,22526754
12.0,22477273
130.0,22305651
23.5,21819728
40.0,22483074
7.85,22432483
10.9,22512099
7.58,22518577
2.15,22522948
32.0,22437188
7.8,22474388
430.0,22472653
22.95,22491776
4.15,22430906
7.59,22514848
3.15,22520102
16.5,22349481
69.0,22299184
350.0,22468730
36.0,22474386
6.0,22450018
4.89,22514605
79.0,22299190
7.9,22474382
31.0,22483105
4.99,22524484
6.15,22276883
6.09,22514006
3.57,22515957
24.0,22330231
37.0,22288614
19.0,22436765
50.0,22484674
5.75,22472845
15.5,22363944
6.2,22529336
13.0,22100051
7.6,21836828
60.0,22182896
21.5,22436749
24.0,22410244
4.95,22529028
2.56,22515420
7.4,21836124
7.2,22070890
40.0,22151614
25.0,22412086
195.0,22198178
15.45,22482584
9.0,22520967
66.0,22303626
9.2,22527675
3.15,22515472
17.5,21798063
5.3,22070910
28.5,22171018
12.5,22406490
70.0,22188889
560.0,21617076
18.45,22490674
5.2,22509816
4.25,22121229
7.88,22527661
4.95,22522279
5.65,22228490
7.5,22497746
16.5,22344472
230.0,22143219
4.95,22502751
6.0,22534893
9.88,22522257
10.5,22522146
3.55,22333274
9.3,22521264
116.0,22500271
8.5,22302100
11.95,22454585
3.9,22528746
10.48,22522145
13.5,22512118
4.15,22338950
10.499,22486993
54.0,22486570
32.0,22245320
7.45,22469039
12.5,21926293
4.99,22505068
6.19,22514001
2.65,22513592
13.0,22511198
3.89,22338960
8.5,22490248
55.0,22486572
95.0,22509365
16.5,22236640
34.95,22472114
4.0,22493452
5.45,21860001
6.79,22513981
2.84,22513225
12.5,22494485
6.99,22493272
50.0,22486567
35.0,22510891
9.8,22232939
2.5,22349588
6.9,21683435
5.89,22513977
8.5,22487497
